"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1098","test_hotel_list","test","Wed May 06 15:58:06 UTC 2026","passed","Wed May 06 15:58:07 UTC 2026","TestHootel","test_hootel","",""
"A belépés tesztelése","969","Hootel Login","test","Wed May 06 15:58:03 UTC 2026","passed","Wed May 06 15:58:04 UTC 2026","TestHootel","test_hootel","",""
